# Timesteps, List of cluster sizes
1035000: [36, 34, 103, 7, 12, 44, 36, 5, 6, 3]
1040000: [37, 34, 103, 7, 13, 44, 37, 5, 6, 3]
1045000: [36, 35, 102, 7, 12, 44, 35, 5, 6, 3]
1050000: [37, 35, 103, 7, 12, 44, 36, 5, 6, 3]
1055000: [37, 35, 103, 7, 12, 44, 36, 5, 6, 3]
1060000: [37, 34, 102, 6, 12, 44, 36, 4, 6, 3]
1065000: [36, 36, 103, 5, 12, 43, 36, 4, 6, 3]
1070000: [36, 36, 103, 5, 12, 42, 36, 4, 6, 3]
1075000: [38, 35, 102, 5, 12, 43, 35, 4, 7, 3]
1080000: [38, 33, 104, 5, 12, 42, 35, 4, 7, 3]
1085000: [38, 33, 106, 5, 12, 41, 35, 4, 6, 3]
1090000: [37, 33, 105, 5, 11, 41, 35, 4, 6, 3]
1095000: [35, 33, 105, 5, 11, 41, 35, 5, 2, 7, 3]
1100000: [36, 33, 105, 5, 12, 41, 35, 6, 7, 3, 2]
1105000: [37, 33, 103, 6, 12, 40, 37, 5, 7, 4, 2]
1110000: [36, 33, 104, 5, 12, 40, 35, 5, 8, 4]
1115000: [35, 32, 104, 4, 12, 40, 35, 5, 7, 4]
1120000: [36, 105, 33, 4, 12, 39, 35, 5, 8, 5]
1125000: [36, 104, 33, 4, 12, 39, 36, 6, 8, 5]
1130000: [36, 105, 33, 4, 11, 39, 37, 6, 2, 4, 7]
1135000: [34, 105, 33, 4, 11, 39, 37, 6, 4, 7]
1140000: [35, 105, 33, 5, 11, 39, 36, 6, 4, 7]
1145000: [36, 107, 33, 5, 11, 39, 36, 5, 4, 7]
1150000: [35, 108, 33, 5, 11, 38, 36, 5, 4, 7]
1155000: [37, 107, 32, 4, 10, 38, 36, 5, 4, 7, 2]
1160000: [35, 107, 31, 4, 10, 38, 36, 6, 8, 3]
1165000: [35, 106, 31, 4, 10, 39, 36, 10, 7, 3]
1170000: [33, 107, 32, 4, 11, 39, 35, 8, 6, 3]
1175000: [35, 106, 32, 4, 11, 40, 2, 34, 8, 6, 2, 3]
1180000: [35, 109, 32, 4, 12, 40, 33, 7, 6, 3]
1185000: [36, 108, 32, 4, 11, 40, 33, 7, 6, 3]
1190000: [35, 108, 32, 5, 11, 40, 35, 7, 6, 3]
1195000: [36, 106, 34, 5, 12, 40, 35, 7, 6, 3]
1200000: [36, 108, 33, 5, 12, 40, 35, 7, 6, 2, 4]
1205000: [37, 108, 31, 5, 12, 40, 35, 7, 6, 4]
1210000: [37, 108, 31, 5, 12, 40, 36, 7, 6, 4]
1215000: [37, 108, 32, 5, 12, 40, 35, 8, 6, 4]
1220000: [38, 107, 32, 5, 12, 41, 35, 8, 6, 4]
1225000: [39, 106, 32, 5, 12, 41, 35, 8, 6, 4]
1230000: [39, 106, 32, 5, 12, 41, 35, 7, 6, 4]
1235000: [39, 106, 31, 5, 12, 41, 36, 7, 7, 3]
1240000: [39, 106, 31, 5, 11, 41, 35, 7, 7, 3]
1245000: [38, 105, 31, 5, 12, 41, 34, 7, 8, 3]
1250000: [38, 105, 31, 5, 13, 41, 34, 7, 8, 3]
