# Timesteps, List of cluster sizes
1000000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 14]
1005000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 14]
1010000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 14]
1015000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 14]
1020000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 14]
1025000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 14]
1030000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 13]
1035000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 13]
1040000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 13]
1045000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 13]
1050000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 13]
1055000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 13]
1060000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 13]
1065000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 13]
1070000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 13]
1075000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 13]
1080000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 13]
1085000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 13]
1090000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 13]
1095000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 13]
1100000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1105000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1110000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1115000: [10, 41, 15, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1120000: [10, 41, 16, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1125000: [10, 41, 16, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1130000: [10, 41, 16, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 9, 12]
1135000: [10, 41, 16, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 9, 12]
1140000: [10, 41, 16, 18, 6, 16, 34, 20, 30, 37, 10, 13, 26, 9, 12]
1145000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 9, 12]
1150000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 9, 12]
1155000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 9, 12]
1160000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1165000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1170000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1175000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1180000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 9, 12]
1185000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1190000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1195000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1200000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1205000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1210000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1215000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1220000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1225000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1230000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1235000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1240000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1245000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1250000: [10, 41, 16, 18, 6, 17, 34, 20, 30, 37, 10, 13, 26, 10, 12]
1255000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1260000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1265000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1270000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1275000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1280000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1285000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1290000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1295000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1300000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1305000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1310000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1315000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1320000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1325000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1330000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1335000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1340000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1345000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1350000: [10, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 10, 12]
1355000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1360000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1365000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1370000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1375000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1380000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1385000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1390000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1395000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1400000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1405000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1410000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1415000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1420000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1425000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1430000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1435000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1440000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1445000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1450000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1455000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1460000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1465000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1470000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1475000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1480000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1485000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1490000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1495000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1500000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1505000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1510000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1515000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 9, 12]
1520000: [11, 41, 16, 18, 43, 17, 34, 20, 30, 10, 13, 26, 8, 12]
