# Timesteps, List of cluster sizes
1480000: [22, 44, 49, 35, 61, 17, 29, 16, 10, 16]
1485000: [22, 44, 49, 35, 61, 17, 29, 16, 10, 16]
1490000: [22, 44, 49, 35, 61, 17, 29, 16, 10, 16]
1495000: [22, 44, 49, 35, 61, 17, 29, 16, 10, 16]
1500000: [22, 44, 49, 35, 61, 17, 29, 16, 10, 16]
1505000: [22, 44, 49, 35, 61, 17, 29, 16, 10, 16]
1510000: [22, 44, 49, 34, 61, 17, 29, 16, 10, 16]
1515000: [22, 45, 49, 34, 61, 17, 29, 16, 10, 16]
1520000: [22, 45, 49, 34, 61, 17, 29, 16, 10, 15]
1525000: [22, 45, 49, 34, 61, 17, 29, 16, 10, 15]
1530000: [22, 45, 49, 34, 61, 17, 29, 15, 10, 15]
1535000: [22, 45, 49, 34, 61, 17, 29, 15, 10, 16]
1540000: [22, 45, 49, 34, 61, 17, 29, 15, 11, 16]
1545000: [22, 45, 49, 34, 61, 17, 29, 15, 11, 16]
1550000: [22, 45, 49, 35, 61, 17, 29, 15, 11, 16]
1555000: [22, 45, 49, 35, 61, 17, 29, 15, 11, 16]
1560000: [22, 45, 49, 35, 61, 17, 29, 15, 11, 16]
1565000: [22, 45, 49, 35, 61, 17, 29, 15, 11, 16]
1570000: [22, 45, 49, 35, 61, 17, 29, 15, 11, 16]
1575000: [22, 45, 49, 35, 61, 17, 29, 15, 11, 16]
1580000: [22, 45, 49, 35, 61, 17, 29, 15, 11, 16]
1585000: [22, 45, 49, 35, 61, 17, 29, 15, 11, 16]
1590000: [22, 45, 49, 35, 61, 17, 29, 15, 11, 16]
1595000: [22, 45, 49, 35, 61, 16, 29, 15, 11, 16]
1600000: [22, 45, 49, 35, 61, 16, 29, 15, 11, 16]
1605000: [22, 45, 49, 35, 61, 16, 29, 15, 11, 16]
1610000: [22, 45, 49, 35, 61, 16, 29, 15, 11, 16]
1615000: [22, 45, 49, 35, 61, 16, 29, 15, 11, 16]
1620000: [22, 45, 49, 35, 61, 16, 29, 15, 11, 16]
1625000: [22, 45, 49, 35, 61, 16, 29, 15, 11, 16]
1630000: [21, 45, 49, 35, 61, 16, 29, 15, 11, 16]
1635000: [21, 45, 49, 35, 61, 16, 29, 15, 11, 16]
1640000: [21, 45, 49, 35, 61, 16, 29, 15, 11, 16]
1645000: [21, 45, 49, 34, 61, 16, 29, 15, 11, 16]
1650000: [21, 45, 49, 35, 61, 16, 29, 15, 11, 16]
1655000: [21, 45, 49, 35, 61, 16, 29, 15, 11, 16]
1660000: [21, 45, 49, 35, 61, 16, 29, 15, 11, 16]
1665000: [21, 45, 49, 35, 61, 16, 29, 15, 11, 16]
1670000: [21, 45, 50, 35, 61, 16, 29, 15, 11, 16]
1675000: [21, 45, 50, 35, 61, 16, 29, 15, 11, 16]
1680000: [21, 45, 50, 35, 61, 16, 29, 15, 11, 16]
1685000: [21, 45, 50, 35, 61, 16, 29, 15, 11, 16]
1690000: [21, 44, 50, 35, 61, 16, 29, 15, 11, 16]
1695000: [21, 44, 50, 35, 62, 16, 29, 15, 11, 16]
1700000: [21, 44, 50, 35, 62, 16, 29, 15, 11, 16]
1705000: [21, 44, 50, 35, 62, 16, 29, 15, 11, 16]
1710000: [21, 44, 49, 35, 62, 16, 29, 15, 11, 16]
1715000: [21, 44, 49, 36, 62, 16, 29, 15, 11, 16]
1720000: [21, 44, 49, 36, 62, 16, 29, 14, 11, 16]
1725000: [21, 44, 49, 36, 62, 16, 29, 14, 11, 16]
1730000: [21, 44, 49, 36, 62, 16, 29, 14, 11, 16]
1735000: [21, 44, 49, 36, 62, 16, 29, 14, 11, 16]
1740000: [21, 44, 49, 36, 62, 16, 29, 15, 11, 16]
1745000: [21, 44, 49, 36, 62, 16, 29, 15, 11, 16]
1750000: [21, 44, 49, 36, 62, 16, 29, 15, 11, 16]
1755000: [21, 44, 49, 36, 62, 16, 29, 15, 11, 16]
1760000: [21, 44, 49, 36, 62, 16, 29, 15, 11, 16]
1765000: [21, 44, 49, 36, 62, 16, 29, 15, 11, 16]
1770000: [21, 44, 49, 36, 62, 16, 29, 15, 11, 16]
1775000: [21, 44, 49, 36, 62, 16, 29, 15, 11, 16]
1780000: [21, 44, 49, 36, 62, 16, 29, 15, 11, 16]
1785000: [21, 43, 49, 36, 62, 16, 29, 15, 11, 16]
1790000: [21, 43, 49, 36, 62, 16, 29, 15, 11, 16]
1795000: [21, 43, 49, 36, 62, 16, 29, 15, 11, 16]
1800000: [21, 43, 49, 36, 62, 16, 29, 15, 11, 16]
1805000: [21, 43, 49, 36, 62, 16, 29, 16, 11, 16]
